"KontoID","Konto","Naziv","RokPlacanja"
"427","10091","ObraCun nabavkematerijala, rezervnih dijelova, alata i inventara koji direktno tereti troSkove","0"
"429","101","Sirovine i materijal","0"
"430","1010","Sirovine i materijal u vlastitom skladiStu","0"
"431","10100","Zalihe sirovina i materijala","0"
"432","10101","Gorivo i mazivo","0"
"433","10102","Zalihe poluproizvoda i dijelova","0"
"434","10103","Zalihe materijala na osnovu zajedniCke nabavke","0"
"436","10104","Zalihe piCa, hrane i dr. u ugostiteljstvu","0"
"438","10105","Zalihe otpadnog i rashodovanog materijala","0"
"439","10106","Zalihe ostalih sirovina i materijala","0"
"440","1011","Sirovine i materijal u javnom ili drugom skladiStu","0"
"441","1012","Sirovine i materijal kod kooperanata","0"
"442","1013","Sirovine i materijal na putu","0"
"443","1014","Sirovine i materijal u doradi, obradi i manipulaciji","0"
"444","1015","Zalihe uredskog materijala i pribora","0"
"446","1016","Zalihe materijala za servisne usluge","0"
"445","1018","Zalihe ostalog materijala, pribora i sl.","0"
"447","102","Rezervni dijelovi","0"
"448","1020","Rezervni dijelovi u skladiStu","0"
"449","1021","Rezervni dijelovi u obradi, doradi i manipulaciji","0"
"456","1028","Ostali rezervni dijelovi","0"
"458","103","Autogume i ambalaZa","0"
"460","1030","Autogume u upotrebi","0"
"461","1031","AmbalaZa na zalihi","0"
"463","1032","Autogume u upotrebi","0"
"464","1033","AmbalaZa u upotrebi","0"
"468","104","Alat i sitan inventar","0"
"469","1040","Alat na zalihi","0"
"470","1041","Sitan inventar na zalihi","0"
"472","1042","Alat u upotrebi","0"
"471","1043","Sitan inventar u upotrebi","0"
"473","1048","Ostalo","0"
"479","108","Odstupanje od cijena","0"
"480","1081","Odstupanje od stvarnih cijena sirovina i materijala","0"
"481","1082","Odstupanje od stvarnih cijena rezervnih dijelova","0"
"482","1083","Odstupanje od stvarnih cijena autoguma i ambalaZe","0"
"488","1084","Odstupanje od stvarnih cijena alata i sitnog inventara","0"
"483","109","Ispravka vrijednost sirovina i materijala, dijelova i inventara","0"
"484","1090","Ispravka (umanjenje) vrijednosti sirovina i materijala","0"
"485","1091","Ispravka (umanjenje) vrijednosti rezervnih dijelova","0"
"486","1092","Ispravka (umanjenje) vrijednosti vrijednosti autoguma i ambalaZe","0"
"487","1093","Ispravka (umanjenje) vrijednosti alata i sitnog inventara","0"
"489","11","PROIZVODNJA U TOKU, POLUPROIZVODI I NEDOVRSENE USLUGE","0"
"490","110","Proizvodnja u toku - nedovrSeni proizvodi","0"
"491","1100","Proizvodnja u toku","0"
"492","111","Poluproizvodi i dijelovi vlastite proizvodnje","0"
"493","1110","Poluproizvodi na zalihi","0"
"494","112","Proizvodnja kod kooperanata","0"
